,EVALID,PLOTID,STATECD,CONDID,SUBP,STATUSCD,STANDING_DEAD_CD,SPCD,scientific,NBR_STEMS,DIA,TPA_UNADJ,OWNGRPCD,FIA_LANDUSE,ITREE_LANDUSE,LEAF_AREA_ITREE,CROWN_DIEBACK_CD,IS_MAINTAINED_AREA,IS_STREET_TREE,IS_PLANTED
34381,PortlandME2022Curr,2383435,23,1,1,Live,NA,833,Quercus rubra,1,14,6.018046286,StateLocal,Forest land,Unused/Other,9352.042885,5,0,0,2
34382,PortlandME2022Curr,2383435,23,1,1,Live,NA,833,Quercus rubra,1,5.1,6.018046286,StateLocal,Forest land,Unused/Other,1705.853125,0,0,0,2
34383,PortlandME2022Curr,2383435,23,1,1,Live,NA,833,Quercus rubra,1,6.8,6.018046286,StateLocal,Forest land,Unused/Other,2996.206229,5,0,0,2
34384,PortlandME2022Curr,2384157,23,1,14,Live,NA,901,Robinia pseudoacacia,1,1.6,74.96528245,Private,Residential,Residential,73.42700504,0,1,0,2
34385,PortlandME2022Curr,2384161,23,1,1,Live,NA,746,Populus tremuloides,1,5.7,6.018046286,StateLocal,Recreation/Cemetery,Cemetery/Park/Golf,232.0532943,5,1,0,1
34403,PortlandME2022Curr,2384109,23,2,1,Live,NA,316,Acer rubrum,1,9.9,6.018046286,Private,Forest land,Unused/Other,2645.784211,0,0,0,2
34404,PortlandME2022Curr,2384109,23,2,1,Live,NA,316,Acer rubrum,1,5.6,6.018046286,Private,Forest land,Unused/Other,1471.81182,0,0,0,2
34405,PortlandME2022Curr,2384109,23,1,1,Live,NA,316,Acer rubrum,1,6.8,6.018046286,Private,Residential,Residential,1399.710667,0,0,0,2
34406,PortlandME2022Curr,2384109,23,2,1,Live,NA,316,Acer rubrum,1,9.5,6.018046286,Private,Forest land,Unused/Other,2452.87863,0,0,0,2
34407,PortlandME2022Curr,2383799,23,1,1,Live,NA,316,Acer rubrum,1,17.3,6.018046286,StateLocal,Forest land,Unused/Other,10265.7696,5,0,0,2
34408,PortlandME2022Curr,2383829,23,1,14,Live,NA,972,Ulmus americana,1,2.6,74.96528245,Private,Residential,Residential,362.2097929,5,0,0,2
34420,PortlandME2022Curr,2384396,23,1,1,Live,NA,833,Quercus rubra,1,14.4,6.018046286,StateLocal,Rights-of-Way,Transportation/Utility,8361.142253,5,0,0,2
34421,PortlandME2022Curr,2384396,23,1,1,Live,NA,833,Quercus rubra,1,9.2,6.018046286,StateLocal,Rights-of-Way,Transportation/Utility,5063.451138,0,0,0,2
34422,PortlandME2022Curr,2383859,23,1,1,Live,NA,833,Quercus rubra,1,5,6.018046286,Private,Forest land,Unused/Other,1574.824295,5,0,0,2
34423,PortlandME2022Curr,2383859,23,1,1,Live,NA,833,Quercus rubra,1,5.1,6.018046286,Private,Forest land,Unused/Other,2371.422625,0,0,0,2
34435,PortlandME2022Curr,2384057,23,1,1,Live,NA,316,Acer rubrum,1,13.7,6.018046286,StateLocal,Forest land,Unused/Other,4682.754513,5,0,0,2
34436,PortlandME2022Curr,2383404,23,2,1,Live,NA,316,Acer rubrum,1,5.4,6.018046286,Private,Forest land,Unused/Other,833.6538087,5,0,0,2
34437,PortlandME2022Curr,2384392,23,1,1,Dead,Yes,129,Pinus strobus,1,8.7,6.018046286,Private,Forest land,Unused/Other,0,NA,0,0,2
34438,PortlandME2022Curr,2384401,23,1,1,Dead,Yes,129,Pinus strobus,1,8.5,6.018046286,Private,Forest land,Unused/Other,0,NA,0,0,2
34453,PortlandME2022Curr,2383829,23,1,1,Live,NA,316,Acer rubrum,1,16.6,6.018046286,Private,Residential,Residential,4754.940393,5,0,0,2
34454,PortlandME2022Curr,2384026,23,1,1,Live,NA,316,Acer rubrum,1,6.9,6.018046286,Private,Commercial/Industrial,Institutional/Commercial,704.8102975,5,0,0,2
