"","EVALID","PLOTID","STATECD","CONDID","SUBP","STATUSCD","STANDING_DEAD_CD","SPCD","scientific","NBR_STEMS","DIA","TPA_UNADJ","OWNGRPCD","FIA_LANDUSE","ITREE_LANDUSE","LEAF_AREA_ITREE","CROWN_DIEBACK_CD","IS_MAINTAINED_AREA","IS_STREET_TREE","IS_PLANTED","PLT_CN","MTRE_CN","CND_CN"
"1529","AustinTX2023Curr",1114769,48,1,13,"Live",NA,61,"Juniperus ashei",1,2.5,74.9652824512,"StateLocal","Forest land","Unused/Other",51.7749020194,0,0,0,2,365780624489998,1262760260290487,483937991489998
"1530","AustinTX2023Curr",1114639,48,1,1,"Live",NA,973,"Ulmus crassifolia",1,6.2,6.0180462857,"Private","Forest land","Unused/Other",500.2010166406,5,0,0,2,439637583489998,533392621126144,533392602126144
"1531","AustinTX2023Curr",1114766,48,1,1,"Live",NA,993,"Melia azedarach",1,5.4,6.0180462857,"Private","Residential","Residential",254.9322698805,5,1,0,2,505184010126144,809629204290487,809629169290487
"1532","AustinTX2023Curr",1114766,48,2,11,"Live",NA,973,"Ulmus crassifolia",1,1.4,74.9652824512,"Private","Forest land","Unused/Other",40.8377214039,0,0,0,2,505184010126144,809629227290487,809629170290487
"1535","AustinTX2023Curr",1114794,48,1,1,"Live",NA,61,"Juniperus ashei",1,12.3,6.0180462857,"StateLocal","Forest land","Unused/Other",471.3189701435,35,0,0,2,365780625489998,1262760276290487,483938182489998
"1536","AustinTX2023Curr",1114794,48,1,1,"Live",NA,61,"Juniperus ashei",1,9.1,6.0180462857,"StateLocal","Forest land","Unused/Other",650.5030387811,5,0,0,2,365780625489998,1262760286290487,483938182489998
"1537","AustinTX2023Curr",1114801,48,1,1,"Live",NA,838,"Quercus virginiana",1,8,6.0180462857,"Private","Forest land","Unused/Other",713.36220269,0,0,0,2,505184011126144,809628312290487,809628281290487
"1538","AustinTX2023Curr",1114793,48,1,1,"Live",NA,61,"Juniperus ashei",4,13.1,6.0180462857,"StateLocal","Forest land","Cemetery/Park/Golf",979.0723989549,5,0,0,2,439637586489998,1262760824290487,533392750126144
"1540","AustinTX2023Curr",1114805,48,1,1,"Live",NA,61,"Juniperus ashei",1,10.6,6.0180462857,"Private","Forest land","Unused/Other",450.7514356366,5,0,0,2,505184013126144,1262762647290487,809627522290487
"1541","AustinTX2023Curr",1114805,48,1,1,"Live",NA,61,"Juniperus ashei",1,7.5,6.0180462857,"Private","Forest land","Unused/Other",248.4035214133,0,0,0,2,505184013126144,1262762654290487,809627522290487
"1542","AustinTX2023Curr",1114704,48,1,12,"Live",NA,973,"Ulmus crassifolia",1,2.5,74.9652824512,"OtherFederal","Forest land","Unused/Other",60.2373395897,0,0,0,2,297167301489998,488917090126144,429472857489998
"1543","AustinTX2023Curr",1114704,48,1,1,"Live",NA,973,"Ulmus crassifolia",1,5.8,6.0180462857,"OtherFederal","Forest land","Unused/Other",426.4457927642,0,0,0,2,297167301489998,488917081126144,429472857489998
"1544","AustinTX2023Curr",1114704,48,1,1,"Live",NA,973,"Ulmus crassifolia",1,6,6.0180462857,"OtherFederal","Forest land","Unused/Other",483.9608956714,0,0,0,2,297167301489998,488917084126144,429472857489998
"1545","AustinTX2023Curr",1114746,48,1,1,"Live",NA,61,"Juniperus ashei",4,10,6.0180462857,"Private","Recreation/Cemetery","Cemetery/Park/Golf",583.734755741,0,0,0,2,489746515126144,1262762134290487,707920404126144
